FECHA (YYMMDD);HORA (HHMM);;
100111;0000;11,425;
100111;0100;9,92499;
100111;0200;9,075;
100111;0300;8,47499;
100111;0400;8,45;
100111;0500;8,14999;
100111;0600;8,04999;
100111;0700;8,54999;
100111;0800;9,52499;
100111;0900;11,375;
100111;1000;9,34999;
100111;1100;10;
100111;1200;10,675;
100111;1300;11,3;
100111;1400;;
100111;1500;12,9;
100111;1600;13,025;
100111;1700;11,575;
100111;1800;10,575;
100111;1900;8,7;
100111;2000;8,14999;
100111;2100;7,575;
100111;2200;7,325;
100111;2300;6,7;
100112;0000;6,425;
100112;0100;6,75;
100112;0200;6,675;
100112;0300;6,625;
100112;0400;6,95;
100112;0500;7,075;
100112;0600;7,825;
100112;0700;8,42499;
100112;0800;9,02499;
100112;0900;9,84999;
100112;1000;10,35;
100112;1100;10,025;
100112;1200;11,375;
100112;1300;12,325;
100112;1400;11,725;
100112;1500;11,475;
100112;1600;11,325;
100112;1700;10,55;
100112;1800;10,2;
100112;1900;10,425;
100112;2000;10,325;
100112;2100;10,075;
100112;2200;10,025;
100112;2300;9,77499;
100113;0000;9,34999;
100113;0100;9,17499;
100113;0200;9,2;
100113;0300;9,325;
100113;0400;9,04999;
100113;0500;9;
100113;0600;9,02499;
100113;0700;9,575;
100113;0800;10,525;
100113;0900;11,875;
100113;1000;13,125;
100113;1100;14,5;
100113;1200;16,15;
100113;1300;16,025;
100113;1400;16,125;
100113;1500;14,475;
100113;1600;14,8;
100113;1700;13,9;
100113;1800;12,35;
100113;1900;11,475;
100113;2000;10,775;
100113;2100;10,75;
100113;2200;10,9;
100113;2300;11,25;
100114;0000;11,45;
100114;0100;11,675;
100114;0200;11,475;
100114;0300;10,7;
100114;0400;10,825;
100114;0500;11,525;
100114;0600;12,2;
100114;0700;13,25;
100114;0800;16;
100114;0900;17,825;
100114;1000;17,825;
100114;1100;18,225;
100114;1200;17,925;
100114;1300;18,775;
100114;1400;19,075;
100114;1500;20,35;
100114;1600;20,075;
100114;1700;18;
100114;1800;16,9;
100114;1900;16,125;
100114;2000;15;
100114;2100;14,075;
100114;2200;13,7;
100114;2300;13,775;
100115;0000;13,325;
100115;0100;13,225;
100115;0200;13,7;
100115;0300;13,85;
100115;0400;13,725;
100115;0500;12,8;
100115;0600;12,2;
100115;0700;12,8;
100115;0800;13,55;
100115;0900;14,05;
100115;1000;14,575;
100115;1100;14,8;
100115;1200;16,65;
100115;1300;17,025;
100115;1400;16,8;
100115;1500;16,2;
100115;1600;15,95;
100115;1700;15,7;
100115;1800;15,125;
100115;1900;14,375;
100115;2000;13,675;
100115;2100;13,425;
100115;2200;13,45;
100115;2300;13,125;
100116;0000;13,225;
100116;0100;13,3;
100116;0200;13,075;
100116;0300;12,725;
100116;0400;12,075;
100116;0500;12,15;
100116;0600;12,175;
100116;0700;12,825;
100116;0800;14,925;
100116;0900;16,575;
100116;1000;18,1;
100116;1100;19,825;
100116;1200;20;
100116;1300;20,25;
100116;1400;20;
100116;1500;18,325;
100116;1600;16,425;
100116;1700;16,6;
100116;1800;15,95;
100116;1900;14,05;
100116;2000;12,775;
100116;2100;12,25;
100116;2200;11,375;
100116;2300;10,775;
100117;0000;10,425;
100117;0100;10,025;
100117;0200;10;
100117;0300;9,95;
100117;0400;9,825;
100117;0500;9,67499;
100117;0600;10,15;
100117;0700;11,3;
100117;0800;11,675;
100117;0900;11,825;
100117;1000;12,7;
100117;1100;12,775;
100117;1200;13,25;
100117;1300;12,9;
100117;1400;12,9;
100117;1500;12,925;
100117;1600;12,95;
100117;1700;12,7;
100117;1800;12,3;
100117;1900;11,775;
100117;2000;11,6;
100117;2100;11,3;
100117;2200;10,975;
100117;2300;10,725;
100118;0000;10,4;
100118;0100;10,325;
100118;0200;10,275;
100118;0300;10,275;
100118;0400;9,89999;
100118;0500;10;
100118;0600;10,5;
100118;0700;10,8;
100118;0800;11,1;
100118;0900;11,65;
100118;1000;12,15;
100118;1100;12,875;
100118;1200;13,95;
100118;1300;14,8;
100118;1400;14,525;
100118;1500;14,625;
100118;1600;14,925;
100118;1700;14,225;
100118;1800;13,875;
100118;1900;13,05;
100118;2000;12;
100118;2100;11,5;
100118;2200;11,875;
100118;2300;11,35;
100119;0000;10,9;
100119;0100;11,575;
