FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140222;0000;5,54166;;;
140223;0000;6,16666;;;
140224;0000;19,625;;;
140225;0000;17,5;;;
140226;0000;10,2083;;;
140227;0000;6,25;;;
140228;0000;14,2083;;;
140301;0000;9,54166;;;
140302;0000;9,375;;;
140303;0000;10,0417;;;
140304;0000;7,70833;;;
140305;0000;6,41666;;;
140306;0000;7,29166;;;
140307;0000;12,2083;;;
140308;0000;12,0417;;;
140309;0000;;;503,673;
140310;0000;;;382,961;
140311;0000;14,6667;;;
140312;0000;23,8333;;;
140313;0000;17,5417;;;
140314;0000;19,0833;;;
140315;0000;35,9583;;;
140316;0000;47,0416;;;
140317;0000;38,5833;;;
140318;0000;37,6666;;;
140319;0000;22,2083;;;
140320;0000;12,6667;;;
140321;0000;14,875;;;
140322;0000;7,29166;;;
140323;0000;34,5833;;;
140324;0000;49,3333;;;
140325;0000;19;;;
140326;0000;18,9583;;;
140327;0000;21,2083;;;
140328;0000;39,8333;;;
140329;0000;39,625;;;
140330;0000;36,0833;;;
140331;0000;115,833;;;
140401;0000;156,417;;;
140402;0000;201,708;;;
140403;0000;119,583;;;
140404;0000;120,5;;;
140405;0000;120,042;;;
140406;0000;93,5833;;;
140407;0000;64,4347;;;
140408;0000;38,5416;;;
140409;0000;45,6666;;;
140410;0000;33,625;;;
140411;0000;115,583;;;
140412;0000;150,208;;;
140413;0000;42,75;;;
140414;0000;43,0833;;;
140415;0000;31,2083;;;
140416;0000;69,4583;;;
140417;0000;27,375;;;
140418;0000;39,1666;;;
140419;0000;63,125;;;
140420;0000;106,25;;;
140421;0000;101,583;;;
140422;0000;104,125;;;
140423;0000;86,619;;;
140424;0000;101,208;;;
140425;0000;137,125;;;
140426;0000;45,4166;;;
140427;0000;29,75;;;
140428;0000;33,6666;;;
140429;0000;47,9166;;;
140430;0000;37,1666;;;
140501;0000;72,625;;;
140502;0000;75,5;;;
140503;0000;49;;;
140504;0000;52,8333;;;
140505;0000;37,5833;;;
140506;0000;226,25;;;
140507;0000;296,739;;;
140508;0000;190,375;;;
140509;0000;49,625;;;
140510;0000;92,25;;;
140511;0000;66,5833;;;
140512;0000;41,75;;;
140513;0000;44,6522;;;
140514;0000;84,375;;;
140515;0000;153,875;;;
140516;0000;62,8333;;;
140517;0000;117,333;;;
140518;0000;44,5;;;
140519;0000;65,5;;;
140520;0000;116,875;;;
140521;0000;197,75;;;
140522;0000;204,708;;;
140523;0000;34,2916;;;
140524;0000;74,7916;;;
140525;0000;30;;;
140526;0000;23,75;;;
140527;0000;104,125;;;
140528;0000;184,417;;;
140529;0000;57,3333;;;
140530;0000;89,5;;;
140531;0000;122,542;;;
140601;0000;76,4583;;;
140602;0000;115,5;;;
140603;0000;191,208;;;
140604;0000;255,409;;;
140605;0000;176,667;;;
140606;0000;138;;;
140607;0000;180,333;;;
140608;0000;93,2916;;;
140609;0000;129,261;;;
140610;0000;141,375;;;
140611;0000;102,739;;;
140612;0000;97,125;;;
140613;0000;134,25;;;
140614;0000;148,5;;;
140615;0000;65,1666;;;
140616;0000;87,5833;;;
140617;0000;216,542;;;
140618;0000;402,042;;;
140619;0000;381,5;;;
140620;0000;393,958;;;
140621;0000;179,583;;;
140622;0000;189,292;;;
140623;0000;77,5;;;
140624;0000;51,5;;;
140625;0000;67,7083;;;
140626;0000;44,125;;;
140627;0000;37,5833;;;
140628;0000;70,7916;;;
140629;0000;64,3333;;;
140630;0000;133,292;;;
140701;0000;64,0416;;;
140702;0000;162,917;;;
140703;0000;230,208;;;
140704;0000;164,833;;;
140705;0000;61,875;;;
140706;0000;59,2083;;;
140707;0000;54,5416;;;
140708;0000;219,708;;;
140709;0000;591,208;;;
140710;0000;504,667;;;
140711;0000;590,291;;;
140712;0000;171,458;;;
140713;0000;353,917;;;
140714;0000;260,75;;;
140715;0000;105,625;;;
140716;0000;94,9583;;;
140717;0000;94,0416;;;
140718;0000;63,25;;;
140719;0000;53,6522;;;
140720;0000;52;;;
140721;0000;60,1666;;;
140722;0000;53,2083;;;
140723;0000;28,375;;;
140724;0000;90,625;;;
140725;0000;113,042;;;
140726;0000;221,542;;;
140727;0000;146;;;
140728;0000;168,792;;;
140729;0000;148,083;;;
140730;0000;198,708;;;
140731;0000;67,7916;;;
140801;0000;164,333;;;
140802;0000;51,6666;;;
140803;0000;34,5416;;;
140804;0000;118,375;;;
140805;0000;144,583;;;
140806;0000;31;;;
140807;0000;46,875;;;
140808;0000;40,7083;;;
